ID_epistem,name_epist,class_id,class_name,latitude,longitude,tree_presence,tree_cover,vegetation_height,shrub_presence,herb_presence,graminoid_proxy_ndvi_std,builtup_presence,building_presence,bareSoil_presence,bare_soil_temporal_length,waterbody_presence,water_horizontal_spreading,artificiality,construction_use,vegetation_artificiality,elev,timber_extraction_rotation,agricultural_activity_type,oilpalm_presence,rubber_presence,mangrove_presence,coffee_presence,other_species_presence
2,Secondary Dryland Forest,2,Logged-over forest,-3.467468325,104.4508437,1,48,15,0,0,0,0,0,0,0,0,0,0,11,0,42,0,0,0,0,,,
2,Secondary Dryland Forest,2,Logged-over forest,-3.472368877,104.4444895,1,48,14,0,0,0,0,0,0,0,0,0,0,11,0,48,0,0,0,1,,,
2,Secondary Dryland Forest,2,Logged-over forest,-3.477635075,104.4453991,1,43,14,0,0,0,0,0,0,0,0,0,0,11,0,41,0,0,0,0,,,
2,Secondary Dryland Forest,2,Logged-over forest,-3.449507066,104.4455819,1,46,12,0,0,0,0,0,0,0,0,0,0,11,0,34,22,0,0,0,,,
2,Secondary Dryland Forest,2,Logged-over forest,-3.479931512,104.4541702,0,45,5,0,0.842409401,0,0,0,0,0,0,0,0,11,0,45,0,0,0,1,,,
2,Secondary Dryland Forest,2,Logged-over forest,-3.583173079,104.3428799,1,49,15,0,0,0,0,0,0,0,0,0,0,11,0,38,0,0,0,0,,,
2,Secondary Dryland Forest,2,Logged-over forest,-3.430185781,104.4912119,1,47,12,0,0,0,0,0,0,0,0,0,0,11,0,37,12,0,0,1,,,
2,Secondary Dryland Forest,2,Logged-over forest,-3.41902911,104.5121385,1,43,15,0,0,0,0,0,0,0,0,0,0,11,0,33,9,0,0,1,,,
21,Cleared Land,21,Cleared land,-3.425650875,104.4956443,0,46,4,1,0,0,0,0,1,0,0,0,0,11,0,38,0,0,0,0,,,
21,Cleared Land,21,Cleared land,-3.057922189,104.7539288,0,14,0,0,0.491921731,1,0,0,1,0,0,0,0,12,0,5,0,0,0,0,,,
21,Cleared Land,21,Cleared land,-3.060709127,104.7532644,0,16,0,0,0,1,0.633897752,0,1,0,0,0,0,12,1,7,0,0,0,0,,,
20,Settlement,20,Settlement,-3.345494075,104.583386,0,19,0,0,0,0,0.9929,1,0,0,0,0,0,22,1,18,0,0,0,0,,,
20,Settlement,20,Settlement,-3.345801753,104.5822668,0,9,0,0,0,0,0.9598,1,0,0,0,0,0,22,1,21,0,0,0,0,,,
20,Settlement,20,Settlement,-3.386214585,104.5988992,0,13,0,0,0,0,0.9524,1,0,0,0,0,0,23,1,19,0,0,0,0,,,
20,Settlement,20,Settlement,-3.307034328,104.7256848,0,9,0,0,0,0,0.9395,1,0,0,0,0,0,21,1,13,0,0,0,0,,,
20,Settlement,20,Settlement,-3.043773461,104.748667,0,10,0,0,0,0,0.9715,1,0,0,0,0,0,30,1,9,0,0,0,0,,,
20,Settlement,20,Settlement,-3.045949502,104.7469146,0,7,0,0,0,0,0.9263,1,0,0,0,0,0,30,1,6,0,0,0,0,,,
20,Settlement,20,Settlement,-3.044647445,104.7769734,0,11,0,0,0,0,0.9372,1,0,2,0,0,0,30,1,7,0,0,0,0,,,
