class_id,latitude,longitude,class_name,tree_presence,tree_cover,vegetation_height,shrub_presence,herb_presence,graminoid_proxy_ndvi_std,builtup_presence,building_presence,bareSoil_presence,bare_soil_temporal_length,waterbody_presence,artificiality,construction_use,vegetation_artificiality,elev,timber_extraction_rotation,agricultural_activity_type,residential,oilpalm_presence,rubber_presence,mangrove_presence,coffee_presence,other_species_presence
13,-3.42627069,104.682766,Other Cropland,0,9.0,0,0,0.922324198,1,0.79081054,0,0,0,0,0,12,1,19,0,1,1,0,0,,,
17,-3.107502933,104.7863464,Paddy Field,0,10.0,0,0,0.97393815,1,0.0,0,0,0,0,0,21,1,7,0,1,0,0,0,,,
23,-3.432294936,104.7456928,Waterbody,0,,0,0,0.0,1,0.0,0,0,0,82,0,21,0,18,0,0,0,0,0,,,
17,-3.105465124,104.7648447,Paddy Field,0,15.0,0,0,0.918503358,1,0.0,0,0,0,5,0,12,1,4,0,1,0,0,0,,,
13,-3.379588361,104.7391692,Other Cropland,0,45.0,0,0,0.997172743,0,0.0,0,0,0,0,0,11,0,36,0,0,0,0,0,,,
18,-3.304755727,104.6776692,Grass or Savanna,0,12.0,0,0,0.978255956,1,0.0,0,0,0,0,0,21,0,14,0,0,0,0,0,,,
21,-3.586709146,104.4752038,Cleared Land,0,45.0,0,0,0.541641826,0,0.0,0,1,0,0,0,11,0,33,0,0,0,0,0,,,
6,-3.657764921,104.5381618,Secondary Swamp Forest,0,27.0,0,0,0.41637896,0,0.0,0,0,0,30,0,11,0,16,0,0,0,0,0,,,
15,-3.214994023,104.686195,Rubber agroforestry,0,17.0,0,0,0.392870566,1,0.0,0,0,0,0,0,11,0,8,0,1,0,0,1,,,1.0
8,-3.267219015,104.7320747,Rubber monoculture,0,25.0,4,1,0.0,0,0.0,0,0,0,0,0,12,0,10,0,0,0,0,1,,,0.0
21,-3.575610444,104.4964291,Cleared Land,0,36.0,0,0,0.831502105,0,0.0,0,1,0,0,0,11,0,29,0,0,0,0,0,,,
6,-3.649930281,104.5377649,Secondary Swamp Forest,0,24.0,0,0,0.0,0,0.0,0,0,0,27,0,11,0,10,0,0,0,0,0,,,
13,-3.414819719,104.6530015,Other Cropland,0,11.0,0,0,0.925940051,1,0.506752848,0,0,0,0,0,11,1,26,0,1,1,0,0,,,
8,-3.172851059,104.5493096,Rubber monoculture,0,41.0,0,0,0.023990765,1,0.0,0,0,0,0,0,21,0,1,0,0,0,0,1,,,0.0
23,-3.150118562,104.6529034,Waterbody,0,39.0,4,1,0.0,0,0.0,0,0,0,0,0,11,0,5,0,0,0,0,0,,,
17,-3.624731901,104.6099266,Paddy Field,0,11.0,0,0,0.922051613,1,0.0,0,0,0,12,0,11,1,13,0,1,0,0,0,,,
20,-3.443536329,104.6577906,Settlement,1,16.0,7,0,0.0,0,0.9085,1,0,0,0,0,21,1,26,0,0,1,0,0,,,
2,-3.759164879,104.4739641,Secondary Dryland Forest,1,43.0,16,0,0.0,0,0.0,0,0,0,0,0,11,0,51,6,0,0,0,1,,,
